Year,ReefName,ReefLabel,Total_Dives,Total_Diver_Hours,Wasted_Diver_Hours,Borderline_Diver_Hours,Needed_Diver_Hours,Total_COTS_Culled,Proportion_Wasted,Proportion_Borderline,Proportion_Needed,Total_Tows,Mean_COTS_per_Tow,Tows_With_Scars,Pct_Tows_With_Scars,Total_eDNA_Samples,eDNA_Positives,eDNA_Mean_Conc,eDNA_Pct_Positive
2020,Davies Reef (18-096),18-096,105,546.25,179,134.96666666666667,232.28333333333333,1271,0.3276887871853547,0.2470785659801678,0.4252326468344775,444,0.033783783783783786,37,8.333333333333332,60,53,46.35,88.33333333333333
2020,Keeper Reef (18-079),18-079,555,1575.3833333333334,335.93333333333334,291.18333333333334,948.2666666666667,5985,0.21323910582609523,0.18483332099065836,0.6019275731832463,290,0.09655172413793103,96,33.10344827586207,30,24,30.3,80
2020,Lizard Island Reef (Lagoon) (14-116d),14-116d,24,115.16666666666667,115.16666666666667,0,0,19,1,0,0,106,0,4,3.7735849056603774,90,22,3.2328281449222223,24.444444444444443
2020,Lizard Island Reef (North East) (14-116b),14-116b,11,55.05,55.05,0,0,15,1,0,0,63,0,2,3.1746031746031744,30,10,4.3743973841,33.33333333333333
2020,Lizard Island Reef (North West) (14-116a),14-116a,17,74.88333333333334,74.88333333333334,0,0,16,1,0,0,128,0.0078125,10,7.8125,30,16,21.444604067500002,53.333333333333336
2020,Moore Reef (16-071),16-071,116,530.4,193.33333333333334,86.4,250.66666666666666,1822,0.3645047762694822,0.16289592760180996,0.4725992961287079,423,0,15,3.546099290780142,32,19,15.9994447654375,59.375
2020,Thetford Reef (16-068),16-068,14,84,78,6,0,43,0.9285714285714286,0.07142857142857142,0,232,0,10,4.310344827586207,30,15,13.612025975,50
2021,Batt Reef (16-029),16-029,136,605.75,94,107.61666666666666,404.1333333333333,2823,0.1551795295088733,0.17765855000687852,0.6671619204842482,233,0.04721030042918455,67,28.75536480686695,36,33,52.73052012522222,91.66666666666666
2021,Bowden Reef (19-019),19-019,10,46.666666666666664,23.333333333333332,14,9.333333333333334,78,0.5,0.3,0.2,38,0.10526315789473684,15,39.473684210526315,36,35,143.6126104561111,97.22222222222221
2021,Cairns Reef (15-086),15-086,16,72,49.333333333333336,13.333333333333334,9.333333333333334,61,0.6851851851851852,0.1851851851851852,0.12962962962962965,328,0,5,1.524390243902439,36,4,1.1382533252222222,11.11111111111111
